,second,red,green,game
0,0,0,0,0
1,60,0,0,0
2,120,0,0,0
3,180,0,0,0
4,240,0,0,0
5,300,0,0,0
6,360,0,0,0
7,420,0,0,0
8,480,0,0,0
9,540,0,0,0
10,600,0,0,0
11,660,0,0,0
12,720,0,0,0
13,780,0,0,0
14,840,0,0,0
15,900,0,0,0
16,960,0,0,0
17,1020,0,0,0
18,1080,0,0,0
19,1140,0,0,0
20,1200,0,0,0
21,1260,0,0,0
22,1320,0,0,0
23,1380,0,0,0
24,1440,0,0,0
25,1500,0,0,0
26,1560,0,0,0
27,1620,0,0,0
28,1680,0,0,0
29,1740,0,0,0
30,1800,0,0,0
31,1860,0,0,0
32,1920,0,0,0
33,1980,0,0,0
34,2040,0,0,0
35,2100,0,0,0
36,2160,0,0,0
37,2220,0,0,0
38,2280,0,0,0
39,2340,0,0,0
40,2400,0,0,0
41,2460,0,0,0
42,2520,0,0,0
43,2580,0,0,0
44,2640,0,0,0
45,2700,0,0,0
46,2760,0,0,0
47,2820,0,0,0
48,2880,0,0,0
49,2940,0,0,0
50,3000,0,0,0
51,3060,0,0,0
52,3120,0,0,0
53,3180,0,0,0
54,3240,0,0,0
55,3300,0,0,0
56,3360,0,0,0
57,3420,0,0,0
58,3480,0,0,0
59,3540,0,0,0
60,3600,0,0,0
61,3660,0,0,0
62,3720,0,0,0
63,3780,0,0,0
64,3840,0,0,0
65,3900,0,0,0
66,3960,0,0,0
67,4020,0,0,0
68,4080,0,0,0
69,4140,0,0,0
70,4200,0,0,0
71,4260,0,0,0
72,4320,0,0,0
73,4380,0,0,0
74,4440,0,0,0
75,4500,0,0,0
76,4560,0,0,0
77,4620,208,200,1
78,4680,198,190,1
79,4740,210,190,1
80,4800,196,187,1
81,4860,207,184,1
82,4920,170,163,1
83,4980,196,160,1
84,5040,189,153,1
85,5100,183,183,1
86,5160,170,185,1
87,5220,200,204,1
88,5280,152,184,1
89,5340,133,146,1
90,5400,172,186,1
91,5460,124,155,1
92,5520,191,199,1
93,5580,99,231,1
94,5640,188,211,1
95,5700,116,230,1
96,5760,191,201,1
97,5820,199,175,1
98,5880,196,151,1
99,5940,165,219,1
100,6000,192,225,1
101,6060,94,141,1
102,6120,189,190,1
103,6180,184,228,1
104,6240,194,212,1
105,6300,191,175,1
106,6360,187,219,1
107,6420,185,225,1
108,6480,166,135,1
109,6540,188,216,1
110,6600,178,215,1
111,6660,136,166,1
112,6720,192,213,1
113,6780,155,203,1
114,6840,189,211,1
115,6900,170,208,1
116,6960,79,202,1
117,7020,186,221,1
118,7080,167,226,1
119,7140,179,222,1
120,7200,89,177,1
