,second,red,green,game
0,600,0.0,-0.0,0
1,1380,0.0,-0.0,0
2,1440,0.0,-0.0,0
3,4020,0.0,-0.0,0
4,4620,0.0,-0.0,0
5,4680,0.88,-0.83,1
6,4740,0.95,-0.79,1
7,4800,0.89,-0.8,1
8,4860,0.93,-0.79,1
9,4920,0.77,-0.71,1
10,4980,0.88,-0.64,1
11,5040,0.85,-0.64,1
12,5100,0.81,-0.75,1
13,5160,0.75,-0.79,1
14,5220,0.87,-0.85,1
15,5280,0.68,-0.8,1
16,5340,0.59,-0.56,1
17,5400,0.76,-0.74,1
18,5460,0.5,-0.58,1
19,5520,0.86,-0.8,1
20,5580,0.42,-0.9,1
21,5640,0.84,-0.85,1
22,5700,0.48,-0.86,1
23,5760,0.83,-0.7,1
24,5820,0.88,-0.67,1
25,5880,0.88,-0.6,1
26,5940,0.7,-0.85,1
27,6000,0.85,-0.94,1
28,6060,0.38,-0.56,1
29,6120,0.83,-0.75,1
30,6180,0.81,-0.85,1
31,6240,0.85,-0.82,1
32,6300,0.83,-0.64,1
33,6360,0.82,-0.89,1
34,6420,0.83,-0.9,1
35,6480,0.72,-0.48,1
36,6540,0.84,-0.81,1
37,6600,0.79,-0.85,1
38,6660,0.59,-0.57,1
39,6720,0.83,-0.83,1
40,6780,0.67,-0.78,1
41,6840,0.85,-0.83,1
42,6900,0.76,-0.76,1
43,6960,0.31,-0.81,1
44,7020,0.78,-0.87,1
45,7080,0.74,-0.9,1
46,7140,0.8,-0.83,1
47,7200,0.35,-0.66,1
48,7260,0.6,-0.67,1
49,7320,0.77,-0.83,1
50,7380,0.87,-0.79,1
51,7440,0.52,-0.82,1
52,7500,0.02,0.0,1
53,7920,0.0,-0.0,0
54,8880,0.0,-0.0,0
55,8940,0.99,-0.95,1
56,9000,0.86,0.0,1
57,9060,0.74,-0.64,1
58,9120,0.88,-0.82,1
59,9180,0.91,-0.77,1
60,9240,0.81,-0.81,1
61,9300,0.65,-0.57,1
62,9360,0.74,-0.69,1
63,9420,0.67,-0.75,1
64,9480,0.78,-0.68,1
65,9540,0.9,-0.4,1
66,9600,0.83,-0.75,1
67,9660,0.81,-0.79,1
68,9720,0.79,-0.8,1
69,9780,0.62,-0.48,1
70,9840,0.9,-0.72,1
71,9900,0.84,-0.89,1
72,9960,0.87,-0.83,1
73,10020,0.86,-0.84,1
74,10080,0.97,-0.33,1
75,10140,0.54,-0.76,1
76,10200,0.73,-0.83,1
77,10260,0.0,0.0,1
78,10320,0.6,-0.47,1
79,10380,0.85,-0.73,1
80,10440,0.77,-0.59,1
81,10500,0.82,-0.88,1
82,10560,0.87,-0.68,1
83,10620,0.85,-0.9,1
84,10680,0.95,-0.57,1
85,10740,0.84,-0.82,1
86,10800,0.84,-0.93,1
87,10860,0.64,-0.85,1
88,10920,0.85,-0.81,1
89,10980,0.72,-0.81,1
90,11040,0.75,-0.81,1
91,11100,0.85,-0.89,1
92,11160,0.81,-0.87,1
93,11220,0.81,-0.83,1
94,11280,1.09,-0.49,1
95,11340,0.93,-0.75,1
96,11400,0.82,-0.8,1
97,11460,0.58,-0.56,1
98,11520,0.85,-0.69,1
99,11580,0.85,-0.67,1
100,11640,0.84,-0.83,1
101,11700,0.81,-0.88,1
102,11760,0.84,-0.88,1
103,11820,0.84,-0.89,1
104,11880,0.66,-0.75,1
105,11940,0.7,-0.89,1
106,12000,0.91,-0.69,1
107,12060,0.72,-0.24,1
108,12120,0.92,-0.55,1
109,12180,0.67,-0.23,1
110,13140,0.0,-0.0,0
111,13320,0.0,-0.0,0
112,14940,0.0,-0.0,0
113,15000,0.43,0.0,1
114,15060,0.73,-0.8,1
115,15120,0.87,-0.7,1
116,15180,0.85,-0.83,1
117,15240,0.71,-0.66,1
118,15300,0.81,-0.73,1
119,15360,0.71,-0.75,1
120,15420,0.88,-0.78,1
121,15480,0.75,-0.88,1
122,15540,0.74,-0.88,1
123,15600,0.65,-0.79,1
124,15660,0.86,-0.67,1
125,15720,0.84,-0.7,1
126,15780,0.85,-0.64,1
127,15840,0.72,-0.83,1
128,15900,0.77,-0.84,1
129,15960,0.77,-0.55,1
130,16020,0.83,-0.5,1
131,16080,0.93,-0.8,1
132,16140,0.84,-0.87,1
133,16200,0.84,-0.78,1
134,16260,0.82,-0.89,1
135,16320,0.7,-0.83,1
136,16380,0.85,-0.81,1
137,16440,0.85,-0.8,1
138,16500,1.0,-0.7,1
139,16560,0.74,-0.7,1
140,16620,0.84,-0.83,1
141,16680,0.81,-0.89,1
142,16740,0.82,-0.7,1
143,16800,0.65,-0.73,1
144,16860,0.83,-0.87,1
145,16920,0.8,-0.75,1
146,16980,0.85,-0.8,1
147,17040,0.84,-0.8,1
148,17100,0.38,-0.68,1
149,17160,0.59,-0.71,1
150,17220,0.34,-0.6,1
151,17400,0.0,-0.0,0
152,18900,0.0,-0.0,0
153,18960,1.0,-0.03,1
154,19020,0.91,-0.67,1
155,19080,0.9,-0.65,1
156,19140,0.85,-0.65,1
157,19200,0.9,-0.62,1
158,19260,0.88,-0.73,1
159,19320,0.8,-0.56,1
160,19380,0.81,-0.87,1
161,19440,0.66,-0.86,1
162,19500,0.91,-0.72,1
163,19560,0.86,-0.75,1
164,19620,0.85,-0.56,1
165,19680,0.84,-0.83,1
166,19740,0.51,-0.56,1
167,19800,0.92,-0.78,1
168,19860,0.53,-0.51,1
169,19920,0.81,-0.72,1
170,19980,0.79,-0.8,1
171,20040,0.82,-0.79,1
172,20100,0.68,-0.82,1
173,20160,0.8,-0.81,1
174,20220,0.73,-0.54,1
175,20280,0.61,-0.54,1
176,20520,0.0,-0.0,0
177,21420,0.0,-0.0,0
178,21660,0.0,-0.0,0
179,22260,0.0,-0.0,0
180,23160,0.0,-0.0,0
181,23220,0.19,0.0,1
182,23280,0.95,-0.65,1
183,23340,0.89,-0.83,1
184,23400,0.75,-0.67,1
185,23460,0.82,-0.76,1
186,23520,0.76,-0.85,1
187,23580,0.62,-0.68,1
188,23640,0.85,-0.79,1
189,23700,0.75,-0.64,1
190,23760,0.79,-0.85,1
191,23820,0.73,-0.94,1
192,23880,0.71,-0.82,1
193,23940,0.79,-0.78,1
194,24000,0.73,-0.7,1
195,24060,0.79,-0.92,1
196,24120,0.77,-0.59,1
197,24180,0.68,-0.74,1
198,24240,0.8,-0.81,1
199,24300,0.83,-0.51,1
200,24360,0.88,-0.62,1
201,24420,0.7,-0.79,1
202,24480,0.81,-0.89,1
203,24540,0.85,-0.9,1
204,24600,0.45,-0.76,1
205,24660,0.77,-0.8,1
206,24720,0.88,-0.72,1
207,24780,0.82,-0.7,1
208,24840,0.85,-0.82,1
209,24900,0.9,-0.37,1
210,24960,0.76,-0.85,1
211,25020,0.81,-0.88,1
212,25080,0.79,-0.82,1
213,25140,0.84,-0.82,1
214,25200,0.84,-0.89,1
215,25260,0.72,-0.51,1
216,25320,0.84,-0.79,1
217,25380,0.81,-0.9,1
218,25440,0.83,-0.89,1
219,25500,0.82,-0.95,1
220,25560,0.79,-0.9,1
221,25620,0.85,-0.87,1
222,25680,0.7,-0.72,1
223,25740,0.64,-0.46,1
224,25800,0.85,-0.69,1
225,25860,0.9,-0.74,1
226,25920,0.84,-0.92,1
227,25980,0.84,-0.87,1
228,26040,0.84,-0.7,1
229,26100,0.79,-0.53,1
230,26160,0.85,0.0,1
231,27960,0.0,-0.0,0
232,28020,0.83,-0.82,1
233,28080,0.67,-0.65,1
234,28140,0.78,-0.75,1
235,28200,0.69,-0.71,1
236,28260,0.82,-0.72,1
237,28320,0.76,-0.69,1
238,28380,0.92,-0.84,1
239,28440,0.81,-0.9,1
240,28500,0.81,-0.85,1
241,28560,0.86,-0.8,1
242,28620,0.88,-0.75,1
243,28680,0.7,-0.42,1
